DATE,GDP,USRECQ
1947-01-01,243.164,0
1947-04-01,245.968,0
1947-07-01,249.585,0
1947-10-01,259.745,0
1948-01-01,265.742,0
1948-04-01,272.567,0
1948-07-01,279.196,0
1948-10-01,280.366,0
1949-01-01,275.034,1
1949-04-01,271.351,1
1949-07-01,272.889,1
1949-10-01,270.627,1
1950-01-01,280.828,0
1950-04-01,290.383,0
1950-07-01,308.153,0
1950-10-01,319.945,0
1951-01-01,336.0,0
1951-04-01,344.09,0
1951-07-01,351.385,0
1951-10-01,356.178,0
1952-01-01,359.82,0
1952-04-01,361.03,0
1952-07-01,367.701,0
1952-10-01,380.812,0
1953-01-01,387.98,0
1953-04-01,391.749,0
1953-07-01,391.171,1
1953-10-01,385.97,1
1954-01-01,385.345,1
1954-04-01,386.121,1
1954-07-01,390.996,0
1954-10-01,399.734,0
1955-01-01,413.073,0
1955-04-01,421.532,0
1955-07-01,430.221,0
1955-10-01,437.092,0
1956-01-01,439.746,0
1956-04-01,446.01,0
1956-07-01,451.191,0
1956-10-01,460.463,0
1957-01-01,469.779,0
1957-04-01,472.025,0
1957-07-01,479.49,0
1957-10-01,474.864,1
1958-01-01,467.54,1
1958-04-01,471.978,1
1958-07-01,485.841,0
1958-10-01,499.555,0
1959-01-01,510.33,0
1959-04-01,522.653,0
1959-07-01,525.034,0
1959-10-01,528.6,0
1960-01-01,542.648,0
1960-04-01,541.08,0
1960-07-01,545.604,1
1960-10-01,540.197,1
1961-01-01,545.018,1
1961-04-01,555.545,0
1961-07-01,567.664,0
1961-10-01,580.612,0
1962-01-01,594.013,0
1962-04-01,600.366,0
1962-07-01,609.027,0
1962-10-01,612.28,0
1963-01-01,621.672,0
1963-04-01,629.752,0
1963-07-01,644.444,0
1963-10-01,653.938,0
1964-01-01,669.822,0
1964-04-01,678.674,0
1964-07-01,692.031,0
1964-10-01,697.319,0
1965-01-01,717.79,0
1965-04-01,730.191,0
1965-07-01,749.323,0
1965-10-01,771.857,0
1966-01-01,795.734,0
1966-04-01,804.981,0
1966-07-01,819.638,0
1966-10-01,833.302,0
1967-01-01,844.17,0
1967-04-01,848.983,0
1967-07-01,865.233,0
1967-10-01,881.439,0
1968-01-01,909.387,0
1968-04-01,934.344,0
1968-07-01,950.825,0
1968-10-01,968.03,0
1969-01-01,993.337,0
1969-04-01,1009.02,0
1969-07-01,1029.956,0
1969-10-01,1038.147,0
1970-01-01,1051.2,1
1970-04-01,1067.375,1
1970-07-01,1086.059,1
1970-10-01,1088.608,1
1971-01-01,1135.156,0
1971-04-01,1156.271,0
1971-07-01,1177.675,0
